"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"290","19:41:39","10.0.2.15","10.0.2.3","UDP","97","59921","53","N/A","0x00","23878"
"291","19:41:39","10.0.2.3","10.0.2.15","UDP","97","53","59921","N/A","0x00","26048"
"292","19:41:39","10.0.2.15","10.0.2.3","UDP","86","59921","53","N/A","0x00","23879"
"293","19:41:39","10.0.2.3","10.0.2.15","UDP","86","53","59921","N/A","0x00","26049"
"294","19:41:39","10.0.2.15","148.211.120.175","TCP","54","40314","443","ACK","0x00","25124"
"295","19:41:39","148.211.120.175","10.0.2.15","TCP","60","443","40314","ACK","0x00","26050"
"296","19:41:40","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","22765"
"297","19:41:40","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26051"
"298","19:41:40","10.0.2.15","10.0.2.3","UDP","97","55059","53","N/A","0x00","56255"
"299","19:41:40","10.0.2.3","10.0.2.15","UDP","97","53","55059","N/A","0x00","26052"
"300","19:41:40","10.0.2.15","10.0.2.3","UDP","86","55059","53","N/A","0x00","56256"
"301","19:41:40","10.0.2.3","10.0.2.15","UDP","86","53","55059","N/A","0x00","26053"
"302","19:41:41","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","22798"
"303","19:41:41","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26054"
"304","19:41:41","10.0.2.15","10.0.2.3","UDP","97","51022","53","N/A","0x00","41788"
"305","19:41:41","10.0.2.3","10.0.2.15","UDP","97","53","51022","N/A","0x00","26055"
"306","19:41:41","10.0.2.15","10.0.2.3","UDP","86","51022","53","N/A","0x00","41789"
"307","19:41:41","10.0.2.3","10.0.2.15","UDP","86","53","51022","N/A","0x00","26056"
"308","19:41:42","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","22907"
"309","19:41:42","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","26057"
"310","19:41:42","10.0.2.15","10.0.2.3","UDP","97","46441","53","N/A","0x00","52364"
"311","19:41:42","10.0.2.3","10.0.2.15","UDP","97","53","46441","N/A","0x00","26058"
